feature,coef
quan,0.0532830573830808
xa,-0.043566515039511367
Kinh,-0.3297785767457759
Poor,-0.12399937071065371
Moneysupp,0.06553598345609388
Electricity,0.026872253949815003
disCen,0.08186725531103323
disRoad,0.13792073904119573
disSell,0.13860108473749216
Relation,0.016631623313099267
Male,0.050272093006362095
Age,0.00038552491233914075
Married,0.1922096223960166
Labor,0.4775543356646221
hhsize,-0.017747183978255844
Irrsize,0.8226144943912971
Cropsize,0.17293844158610092
Treat,-0.5721117801201284
Contract,0.08414444010899377
Rice,-0.42333737699215046
Veg,0.26449217808382247
Coffee,0.5158409911470443
Tea,0.09909079278806772
Asset,-0.2516529868694915
natShock,0.17621827112282937
ecoShock,0.00408527073463213
socShock,-0.03409862814153482
tinh_Dak Nong,-0.7071436656457104
tinh_Dien Bien,0.8964882551607786
tinh_Ha Tay,-0.4482987667535395
tinh_Khanh Hoa,-1.4927266467681697
tinh_Lai Chau,0.6813382298320324
tinh_Lam Dong,-0.5586018464508475
tinh_Lao Cai,0.5555440463468749
tinh_Long An,0.19763269828557845
tinh_Nghe An,0.44654734737963425
tinh_Phu Tho,0.7274695031590295
tinh_Quang Nam,-0.29840311999621894
Edu_Junior college diploma,0.6264232437280958
Edu_Long-term vocational training,1.3113885991402459
Edu_Masters degree,-4.627274421619845
Edu_No Diploma,2.032042685364242
Edu_Professional high shool,1.489227260573747
Edu_Short-term vocational training,2.0027231262717797
