feature,coef
quan,2.9002357183786837e-15
xa,4.535307405427675e-15
Kinh,1.2835294892989205e-16
Poor,2.9177041590023976e-17
Moneysupp,8.491667712948e-16
Electricity,1.9462730875019087e-16
disCen,5.197960875906832e-16
disRoad,3.903638599147336e-16
disSell,2.2179539855187198e-16
Relation,4.2678830329969817e-17
Male,1.721616703002586e-16
Age,1.0502610083166918e-14
Married,1.7471739830862316e-16
Labor,6.701033078509365e-16
hhsize,8.88796833055088e-16
Irrsize,1.0997470806695942e-12
Cropsize,1.939813736585503e-12
Treat,1.3700711216615343e-16
Contract,2.2980682266449165e-30
Rice,1.411335544075916e-16
Veg,8.55134537911764e-18
Coffee,2.7027431813610886e-17
Tea,5.318507266338637e-18
Asset,4.8540586293913315e-09
natShock,1.8477660734319448e-16
ecoShock,5.860297211042401e-18
socShock,1.996603144890309e-17
Year,4.858618504167429e-16
tinh_Dak Nong,1.409824271561028e-17
tinh_Dien Bien,1.699208109589769e-17
tinh_Ha Tay,3.132202967753565e-17
tinh_Khanh Hoa,4.7946929411642376e-18
tinh_Lai Chau,1.8039539177787328e-17
tinh_Lam Dong,5.462241122982087e-18
tinh_Lao Cai,1.5810465271105354e-17
tinh_Long An,1.858271408952147e-17
tinh_Nghe An,1.4749889463863903e-17
tinh_Phu Tho,2.476386647476554e-17
tinh_Quang Nam,1.858810599591026e-17
Edu_Junior college diploma,1.6568007469556403e-18
Edu_Long-term vocational training,2.8322646004703356e-18
Edu_Masters degree,-5.878641711307437e-20
Edu_No Diploma,1.6408272784732747e-16
Edu_Professional high shool,6.687858527110338e-18
Edu_Short-term vocational training,2.3273557675249426e-17
